AgencyID,Longname,AltNicks,Geo,Type,nomicsID,PrimRepoUrl,PrimType,PrimGetdata,PrimMinSuffix,Primarguments,PrimExampleCall,PrimExampleUrl,DataProcessingFunction,PrimAuthRequired,PrimDataFlows,PrimFlowStructure,LookatDSDref,RefDetailSuffix,RefDetailExample,HelpPage,Special.data,Last_tested,Last_successful,DataFlows,FreqsUsed,PrimFlows,PrimStructureExamle,PrimCodelistExample,SecoUrl,SecoType,SecoGetdata,SecoExample1,OtherTypes,Rpackages,GeoCLsandDims
ESTAT,Eurostat (Statistical office of the European Union),Eurostat,EU,EUORG,Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1,SDMX-ML (Generic),https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/,,,ESTAT/prc_hpi_q/Q.DW_EXST.I10_Q.AT+BE,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/data/prc_hpi_q/Q.DW_EXST.I10_Q.AT+BE,.mdEstat,None,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/dataflow/all/all/latest/,,,&detail=referencepartial,https://ec.europa.eu/eurostat/api/dissemination/sdmx/2.1/dataflow/ESTAT/namq_10_gdp/latest?detail=referencepartial&references=descendants,,,,,,,,,,,,,,,,"GEO,PARTNER"
ECB,European Central Bank,,EU,CB,ECB,https://data-api.ecb.europa.eu/service,SDMX-ML (Generic),https://data-api.ecb.europa.eu/service/data/,,,ECB/EXR/A.JPY+PLN.EUR.SP00.A,https://data-api.ecb.europa.eu/service/data/EXR/A.JPY+PLN.EUR.SP00.A,,None,https://data-api.ecb.europa.eu/service/dataflow/all/all/latest,,,,https://data-api.ecb.europa.eu/service/datastructure/all/ECB_EXR1/latest/?references=children,,,,,,,,,,,,,,,,"CL_AREA,REF_AREA,COUNTERPART_AREA"
OECD,Organisation for Economic Cooperation and Development,,1A,INTORG,OECD,https://sdmx.oecd.org/public/rest,SDMX-ML (MessageGroup),https://sdmx.oecd.org/public/rest/data/,,,"OECD/OECD.ECO.MAD,DSD_EO@DF_EO/EST+NLD.GDPV_ANNPCT.A","https://sdmx.oecd.org/public/rest/data/OECD.ECO.MAD,DSD_EO@DF_EO/EST+NLD.GDPV_ANNPCT.A",,None,https://sdmx.oecd.org/public/rest/dataflow/,,,,https://sdmx.oecd.org/public/rest/dataflow/OECD.ECO.MAD/DSD_EO@DF_EO/1.1?references=all,https://sdmx.oecd.org/public,,,,,,,,,,,,,,,"CL_AREA,CL_EO_LOCATION,LOCATION,AREA,REF_AREA"
BIS,Bank for International Settlements,,1A,INTORG,BIS,https://stats.bis.org/api/v1,SDMX-ML (StructureSpecific),https://stats.bis.org/api/v1/data/,,,BIS/WS_EER_M/M.N.B.AT+FR+BE,https://stats.bis.org/api/v1/data/WS_EER_M/M.N.B.AT+FR+BE,,None,https://stats.bis.org/api/v1/dataflow/,,,,https://stats.bis.org/api/v1/datastructure/BIS/BIS_EER/latest?references=children,,,,,,,,,,,,,,,,"CL_AREA,REF_AREA,COUNTERPART_AREA"
IMF,International Monetary Fund,FMI,1A,INTORG,IMF,http://dataservices.imf.org/REST/SDMX_XML.svc,SDMX-ML (CompactData),http://dataservices.imf.org/REST/SDMX_XML.svc/CompactData/,,,IMF/FSI/A.FI+DK+AT.FSASDLD_EUR+FSANL_PT,http://dataservices.imf.org/REST/SDMX_XML.svc/CompactData/FSI/A.FI+DK+AT.FSASDLD_EUR+FSANL_PT,,None,http://dataservices.imf.org/REST/SDMX_XML.svc/Dataflow,,TRUE,,http://dataservices.imf.org/REST/SDMX_XML.svc/MetadataStructure/FSI,,,,,,,,,,,,,,,,"CL_AREA.*,REF_AREA,COUNTERPART_AREA"
WB,World Bank,WorldBank,1A,INTORG,WB,http://api.worldbank.org/v2/sdmx/rest,SDMX-ML (Generic),http://api.worldbank.org/v2/sdmx/rest/data/,/?startperiod=1960&endPeriod=2100,,WB/WDI/A.SP_POP_TOTL.AUS+FRA,http://api.worldbank.org/v2/sdmx/rest/data/WDI/A.SP_POP_TOTL.AUS+FRA/?startperiod=1960&endPeriod=2100,,None,http://api.worldbank.org/v2/sdmx/rest/dataflow/all/all/latest/,,,,http://api.worldbank.org/v2/sdmx/rest/datastructure/all/WDI/latest/?references=children,,,,,,,,,,,,,,,,"CL_AREA.*,REF_AREA"
UNSD,United Nations Statistics Division,"UNDATA,UN",1A,INTORG,UN,http://data.un.org/WS/rest,SDMX-ML (Generic),http://data.un.org/WS/rest/data/,,,UNSD/DF_UNDATA_SEEA_SUPPLY/A.AT+HU+PL.P.C.W1.ATU_HH.RES.N00_P00_R00.P7.TJ._T.S1,http://data.un.org/WS/rest/data/DF_UNDATA_SEEA_SUPPLY/A.AT+HU+PL.P.C.W1.ATU_HH.RES.N00_P00_R00.P7.TJ._T.S1,,None,http://data.un.org/WS/rest/dataflow/all/all/latest/,,,,,,,,,,,,,,,,,,,,REF_AREA
BBK,Bundesbank,"Bundesbank,DENCB,BuBa",DE,CB,BUBA,https://api.statistiken.bundesbank.de/rest,SDMX-ML (Generic),https://api.statistiken.bundesbank.de/rest/data/,,,BBK/BBFBOPV/M.N.DE.W1.S1.S1.T.B.G+S+CA._Z._Z._Z.EUR._T._X.N.ALL,https://api.statistiken.bundesbank.de/rest/data/BBFBOPV/M.N.DE.W1.S1.S1.T.B.G+S+CA._Z._Z._Z.EUR._T._X.N.ALL,,None,https://api.statistiken.bundesbank.de/rest/metadata/dataflow/BBK,,,,https://api.statistiken.bundesbank.de/rest/metadata/datastructure/BBK/BBK_ES_BOP?references=children,,,,,,,,,,,,,,,,CL_BBK_STD_AREA_WORLD
ISTAT,Istituto nazionale di statistica (Italia),"IT1,ITNSI",IT,NSI,,https://esploradati.istat.it/SDMXWS,SDMX-ML (Generic),https://esploradati.istat.it/SDMXWS/data/,,,ISTAT/92_504_DF_DCCN_ANA_1/A.IT.B1G_B_W2_S1.A.Z.Z.V.N.B.,https://esploradati.istat.it/SDMXWS/data/92_504_DF_DCCN_ANA_1/A.IT.B1G_B_W2_S1.A.Z.Z.V.N.B.,,None,https://esploradati.istat.it/SDMXWS/rest/dataflow/,,,,https://esploradati.istat.it/SDMXWS/rest/datastructure/IT1/DCCN_ANA,,,,,,,,,,,,,,,,CL_ISO
INSEE,Institut national de la statistique et des études économiques,FRNSI,FR,NSI,,https://bdm.insee.fr/series/sdmx,SDMX-ML (StructureSpecific),https://bdm.insee.fr/series/sdmx/data/,,,INSEE/ICA-2015-COMMERCE/M.BDM.ICA_COMM.45-1+47.INDICE_VAL.FE.SO.BRUT.2015,https://bdm.insee.fr/series/sdmx/data/ICA-2015-COMMERCE/M.BDM.ICA_COMM.45-1+47.INDICE_VAL.FE.SO.BRUT.2015,,None,https://bdm.insee.fr/series/sdmx/dataflow/all/all/latest/,,,,,,,,,,,,,,,,,,,,CL_ZONE_GEO
NBB,National Bank of Belgium,"BNB,BENCB",BE,CB,,https://stat.nbb.be/RestSDMX/sdmx.ashx,SDMX-ML (Generic),https://stat.nbb.be/RestSDMX/sdmx.ashx/GetData/,/all?detail=serieskeysonly&format=compact_v2,,NBB/REGTRDA38/P62000+P61000.310+350+330+320+340+336.A38.CU.A,https://stat.nbb.be/RestSDMX/sdmx.ashx/GetData/REGTRDA38/P62000+P61000.310+350+330+320+340+336.A38.CU.A/all?detail=serieskeysonly&format=compact_v2,,None,?,,,,,,,,,,,,,,,,,,,,
LSD,Statistics Lithuania,LTNSI,LT,NSI,,https://osp-rs.stat.gov.lt/rest_xml,,https://osp-rs.stat.gov.lt/rest_xml/data/,,,,,,None,https://osp-rs.stat.gov.lt/rest_xml/dataflow/all/all/latest/,,,,,,,,,,,,,,,,,,,,
STAT_EE,Statistics Estonia database,EENSI,EE,NSI,,http://andmebaas.stat.ee/restsdmx/sdmx.ashx,,http://andmebaas.stat.ee/restsdmx/sdmx.ashx/data/,,,,,,None,?,,,,,,,,,,,,,,,,,,,,
EC_COMEXT,Eurostat (Statistical office of the European Union) - COMEXT,Comext,EU,EUORG,,https://ec.europa.eu/eurostat/api/comext/dissemination/sdmx/2.1,,https://ec.europa.eu/eurostat/api/comext/dissemination/sdmx/2.1/data/,,,EC_COMEXT/DS-018995/M.BE.WORLD.TOTAL..VALUE_IN_EUROS,https://ec.europa.eu/eurostat/api/comext/dissemination/sdmx/2.1/data/DS-018995/M.BE.WORLD.TOTAL..VALUE_IN_EUROS,,None,https://ec.europa.eu/eurostat/api/comext/dissemination/sdmx/2.1/dataflow/,,,,,,,,,,,,,,,,,,,,
